Ticker,Name,Type,Quantity,Buy Price,CMP,P&L,P&L %,Tax Label,Days Held
NIFTYBEES.NS,Nippon India Nifty 50 BeES,etf,150,175.20,264.06,13329,50.72,LTCG,850
JUNIORBEES.NS,Nippon India Junior BeES,etf,100,380.00,520.40,14040,36.95,LTCG,720
102591,Parag Parikh Flexi Cap Fund,mf,45,42.10,68.50,1188,62.71,LTCG,1150
100350,Canara Robeco Bluechip Equity,mf,60,35.40,48.20,768,36.16,LTCG,640
RELIANCE.NS,Reliance Industries,stock,30,2100.00,2850.00,22500,35.71,LTCG,910
ICICIBANK.NS,ICICI Bank,stock,60,780.00,1120.00,20400,43.59,LTCG,530
SBIN.NS,State Bank of India,stock,120,450.00,760.50,37260,69.00,LTCG,1200
BHARTIARTL.NS,Bharti Airtel,stock,50,720.00,1210.00,24500,68.06,LTCG,440
BANKBEES.NS,Nippon India Bank BeES,etf,80,350.00,485.20,10816,38.63,STCG,210
120474,Axis Midcap Fund,mf,25,62.00,81.40,485,31.29,STCG,320
TITAN.NS,Titan Company,stock,10,2450.00,3650.00,12000,48.98,LTCG,600
LT.NS,Larsen & Toubro,stock,15,2100.00,3450.00,20250,64.29,LTCG,780
119062,Mirae Asset Large Cap Fund,mf,80,72.10,95.30,1856,32.18,LTCG,950
