Ticker,Name,Type,Quantity,Buy Price,CMP,P&L,P&L %,Tax Label,Days Held
NIFTYBEES.NS,Nippon India Nifty 50 BeES,etf,500,165.00,264.06,49530,60.04,LTCG,1450
JUNIORBEES.NS,Nippon India Junior BeES,etf,300,350.00,522.10,51630,49.17,LTCG,1120
BANKBEES.NS,Nippon India Bank BeES,etf,150,380.00,492.00,16800,29.47,LTCG,920
GOLDBEES.NS,Nippon India Gold BeES,etf,400,38.50,58.30,7920,51.43,LTCG,1800
CPSEETF.NS,CPSE ETF,etf,1000,28.50,100.50,72000,252.63,LTCG,1550
SETFNIF50.NS,SBI Nifty 50 ETF,etf,200,192.00,248.50,11300,29.43,LTCG,710
119551,SBI Liquid Fund,mf,25,3150.00,3420.00,6750,8.57,STCG,110
100350,Canara Robeco Bluechip Equity,mf,150,32.40,49.10,2505,51.54,LTCG,1200
RELIANCE.NS,Reliance Industries,stock,20,2340.00,2850.00,10200,21.79,LTCG,550
HDFCBANK.NS,HDFC Bank,stock,40,1480.00,1680.00,8000,13.51,STCG,300
TCS.NS,Tata Consultancy Services,stock,10,3200.00,3850.00,6500,20.31,LTCG,840
INFY.NS,Infosys Limited,stock,30,1280.00,1540.00,7800,20.31,LTCG,410
ICICIBANK.NS,ICICI Bank,stock,50,810.00,1110.00,15000,37.04,LTCG,600
SBIN.NS,State Bank of India,stock,100,520.00,760.00,24000,46.15,LTCG,750
102591,Parag Parikh Flexi Cap Fund,mf,90,41.20,70.50,2637,71.12,LTCG,1100
